x_A x_P y_A y_P d_A d_P FaceP_A FaceA_P
525.5 -634.5 383.0 374.75 650.2637165433895 737.0036214515592 0.0 1.0
527.5 -677.5 384.0 388.5 652.4662826537476 780.9882789784957 0.0 0.0
527.5 -674.25 387.0 389.5 654.2363869428236 778.667777835049 0.0 1.0
525.5 -670.25 389.0 388.5 653.8128554869505 774.7049738904334 0.0 1.0
526.0 -673.0 388.0 363.0 653.6208089595273 764.6575040858474 0.0 1.0
526.5 -659.5 383.5 383.0 651.3636951343003 762.7522997159697 0.0 1.0
527.0 -653.75 382.0 403.25 650.887253565819 768.1397278661289 0.0 1.0
527.0 -644.75 383.5 404.25 651.7677884032012 761.000686934367 0.0 1.0
527.0 -640.5 388.0 403.0 654.4258262947048 756.7361406351413 0.0 1.0
526.5 -642.0 391.0 395.75 655.8073268880121 754.192946982223 0.0 1.0
514.0 -652.5 372.5 387.75 634.7887928529206 759.0168204492102 0.0 1.0
513.0 -658.75 364.5 386.25 629.3089353244322 763.6501054675424 0.0 1.0
514.0 -665.75 365.0 386.0 630.4134882710482 769.5577078275894 0.0 1.0
515.5 -668.5 366.5 383.58333333333337 632.5050719652324 770.7327294616391 0.0 1.0
520.0 -666.5 375.0 383.91666666666663 641.1206640873093 769.1649846403054 0.0 0.0
